Year,EventName,SessionType,DownloadTimestamp,Status,NaNPercentage,FilePath,RetriesAttempted,Notes
2022,Monaco Grand Prix,R,2025-05-31T16:53:55.718466,Success,0.0044,F1/local/drive/raw_data/2022\Monaco_Grand_Prix\FORMULA_1_GRAND_PRIX_DE_MONACO_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Monaco_Grand_Prix\FORMULA_1_GRAND_PRIX_DE_MONACO_2022_R_data.parquet
2022,Azerbaijan Grand Prix,R,2025-05-31T16:54:03.197351,Success,0.0043,F1/local/drive/raw_data/2022\Azerbaijan_Grand_Prix\FORMULA_1_AZERBAIJAN_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Azerbaijan_Grand_Prix\FORMULA_1_AZERBAIJAN_GRAND_PRIX_2022_R_data.parquet
2022,Canadian Grand Prix,R,2025-05-31T16:54:09.783812,Success,0.0003,F1/local/drive/raw_data/2022\Canadian_Grand_Prix\FORMULA_1_AWS_GRAND_PRIX_DU_CANADA_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Canadian_Grand_Prix\FORMULA_1_AWS_GRAND_PRIX_DU_CANADA_2022_R_data.parquet
2022,British Grand Prix,R,2025-05-31T16:54:17.429798,Success,0.0103,F1/local/drive/raw_data/2022\British_Grand_Prix\FORMULA_1_LENOVO_BRITISH_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\British_Grand_Prix\FORMULA_1_LENOVO_BRITISH_GRAND_PRIX_2022_R_data.parquet
2022,Austrian Grand Prix,R,2025-05-31T16:54:24.436611,Success,0.0002,F1/local/drive/raw_data/2022\Austrian_Grand_Prix\FORMULA_1_ROLEX_GROSSER_PREIS_VON_ÖSTERREICH_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Austrian_Grand_Prix\FORMULA_1_ROLEX_GROSSER_PREIS_VON_ÖSTERREICH_2022_R_data.parquet
2022,French Grand Prix,R,2025-05-31T16:54:31.755874,Success,0.0027,F1/local/drive/raw_data/2022\French_Grand_Prix\FORMULA_1_LENOVO_GRAND_PRIX_DE_FRANCE_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\French_Grand_Prix\FORMULA_1_LENOVO_GRAND_PRIX_DE_FRANCE_2022_R_data.parquet
2022,Hungarian Grand Prix,R,2025-05-31T16:54:38.893783,Success,0.0001,F1/local/drive/raw_data/2022\Hungarian_Grand_Prix\FORMULA_1_ARAMCO_MAGYAR_NAGYDÍJ_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Hungarian_Grand_Prix\FORMULA_1_ARAMCO_MAGYAR_NAGYDÍJ_2022_R_data.parquet
2022,Belgian Grand Prix,R,2025-05-31T16:54:46.528824,Success,0.0101,F1/local/drive/raw_data/2022\Belgian_Grand_Prix\FORMULA_1_ROLEX_BELGIAN_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Belgian_Grand_Prix\FORMULA_1_ROLEX_BELGIAN_GRAND_PRIX_2022_R_data.parquet
2022,Dutch Grand Prix,R,2025-05-31T16:54:53.292543,Success,0.0006,F1/local/drive/raw_data/2022\Dutch_Grand_Prix\FORMULA_1_HEINEKEN_DUTCH_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Dutch_Grand_Prix\FORMULA_1_HEINEKEN_DUTCH_GRAND_PRIX_2022_R_data.parquet
2022,Italian Grand Prix,R,2025-05-31T16:55:00.878699,Success,0.0006,F1/local/drive/raw_data/2022\Italian_Grand_Prix\FORMULA_1_PIRELLI_GRAN_PREMIO_D’ITALIA_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Italian_Grand_Prix\FORMULA_1_PIRELLI_GRAN_PREMIO_D’ITALIA_2022_R_data.parquet
2022,Singapore Grand Prix,R,2025-05-31T16:55:07.559001,Success,0.0229,F1/local/drive/raw_data/2022\Singapore_Grand_Prix\FORMULA_1_SINGAPORE_AIRLINES_SINGAPORE_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Singapore_Grand_Prix\FORMULA_1_SINGAPORE_AIRLINES_SINGAPORE_GRAND_PRIX_2022_R_data.parquet
2022,Japanese Grand Prix,R,2025-05-31T16:55:14.605047,Success,0.0296,F1/local/drive/raw_data/2022\Japanese_Grand_Prix\FORMULA_1_HONDA_JAPANESE_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Japanese_Grand_Prix\FORMULA_1_HONDA_JAPANESE_GRAND_PRIX_2022_R_data.parquet
2022,United States Grand Prix,R,2025-05-31T16:55:20.947023,Success,0.0149,F1/local/drive/raw_data/2022\United_States_Grand_Prix\FORMULA_1_ARAMCO_UNITED_STATES_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\United_States_Grand_Prix\FORMULA_1_ARAMCO_UNITED_STATES_GRAND_PRIX_2022_R_data.parquet
2022,Mexico City Grand Prix,R,2025-05-31T16:55:28.326128,Success,0.0001,F1/local/drive/raw_data/2022\Mexico_City_Grand_Prix\FORMULA_1_HEINEKEN_GRAN_PREMIO_DE_LA_CIUDAD_DE_MÉXICO_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Mexico_City_Grand_Prix\FORMULA_1_HEINEKEN_GRAN_PREMIO_DE_LA_CIUDAD_DE_MÉXICO_2022_R_data.parquet
2022,São Paulo Grand Prix,R,2025-05-31T16:55:35.499205,Success,0.0005,F1/local/drive/raw_data/2022\São_Paulo_Grand_Prix\FORMULA_1_HEINEKEN_GRANDE_PRÊMIO_DE_SÃO_PAULO_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\São_Paulo_Grand_Prix\FORMULA_1_HEINEKEN_GRANDE_PRÊMIO_DE_SÃO_PAULO_2022_R_data.parquet
2022,Abu Dhabi Grand Prix,R,2025-05-31T16:55:43.001570,Success,0.0,F1/local/drive/raw_data/2022\Abu_Dhabi_Grand_Prix\FORMULA_1_ETIHAD_AIRWAYS_ABU_DHABI_GRAND_PRIX_2022_R_data.parquet,0,Data saved to F1/local/drive/raw_data/2022\Abu_Dhabi_Grand_Prix\FORMULA_1_ETIHAD_AIRWAYS_ABU_DHABI_GRAND_PRIX_2022_R_data.parquet
